dataset;alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
mushroom;0,95;5;0,019899999999999918;0,013600000000000056;0,09489999999999998;0,000300000000000078;0,0665;0,6549;0,039000000000000035;0,0008000000000000229
mushroom;0,95;6;0,01330000000000009;0,013600000000000056;0,05469999999999997;9,999999999998899e-05;0,05729999999999991;0,6908;0,027200000000000002;0,0008000000000000229
mushroom;0,95;7;0,019899999999999918;0,013600000000000056;0,05609999999999993;0,0010999999999999899;0,07079999999999997;0,5620999999999999;0,03500000000000003;0,0010999999999999899
mushroom;0,95;8;0,01330000000000009;0,013600000000000056;0,0895999999999999;0,0018000000000000238;0,055499999999999994;0,4431999999999999;0,02760000000000007;0,0023000000000000798
mushroom;0,95;9;0,019899999999999918;0,013600000000000056;0,08599999999999997;9,999999999998899e-05;0,03639999999999999;0,4901;0,021100000000000008;0,000300000000000078
pageblock;0,05;0;0,6788;0,19779999999999998;0,2162;0,016299999999999995;0,05;0,16549999999999998;0,3;0,016699999999999993
pageblock;0,05;1;0,6596;0,12979999999999997;0,4842;0,084;0,05;0,2591;0,3313;0,0068000000000000005
pageblock;0,05;2;0,6414;0,3312;0,24330000000000002;0,2138;0,04;0,20080000000000003;0,751;0,2378
pageblock;0,05;3;0,7672;0,3398;0,2604;0,016100000000000003;0,05;0,0368;0,038000000000000006;0,004800000000000006
pageblock;0,05;4;0,6414;0,21300000000000002;0,09929999999999999;0,003600000000000006;0,05;0,15489999999999998;0,06799999999999999;0,0015999999999999973
pageblock;0,05;5;0,7204999999999999;0,0946;0,2548;0,0534;0,05;0,10790000000000001;0,039999999999999994;0,044700000000000004
pageblock;0,05;6;0,5116999999999999;0,053099999999999994;0,3048;0,0888;0,05;0,16670000000000001;0,18319999999999997;0,135
pageblock;0,05;7;0,6788;0,05009999999999999;0,7333;0,044500000000000005;0,05;0,23260000000000003;0,029;0,047200000000000006
pageblock;0,05;8;0,6596;0,05009999999999999;0,24220000000000003;0,0006999999999999992;0,05;0,09779999999999998;0,034;0,0228
pageblock;0,05;9;0,82;0,2584;0,13219999999999998;0,0031999999999999945;0,05;0,10429999999999999;0,05;0,011999999999999997
pageblock;0,25;0;0,2314;0,03949999999999998;0,1758;0,033499999999999974;0,2421;0,12480000000000002;0,621;0,041100000000000025
pageblock;0,25;1;0,2892;0,046099999999999974;0,20590000000000003;0,07329999999999998;0,2113;0,1765;0,45099999999999996;0,06719999999999998
pageblock;0,25;2;0,2148;0,0801;0,1899;0,1764;0,1693;0,183;0,7248;0,18669999999999998
pageblock;0,25;3;0,3771;0,10819999999999999;0,029200000000000004;0,10700000000000001;0,25;0,04819999999999999;0,5603;0,124
pageblock;0,25;4;0,3002;0,008000000000000007;0,21200000000000002;0,09300000000000003;0,2363;0,057499999999999996;0,5884;0,0068999999999999895
