dataset;ds;dmu;alpha;cons_alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
laplace;2;0;0,5;0,25;1;0,0465;0,1669;0,0447;0,0407;0,0997
laplace;2;0;0,5;0,25;2;0,047;0,1629;0,0564;0,0517;0,0593
laplace;2;0;0,5;0,25;3;0,0398;0,1816;0,0522;0,069;0,0893
laplace;2;0;0,5;0,25;4;0,0483;0,2194;0,0648;0,0898;0,1446
laplace;2;0;0,5;0,25;5;0,0506;0,1382;0,0655;0,0662;0,065
laplace;2;0;0,5;0,25;6;0,0576;0,1736;0,0646;0,0728;0,0709
laplace;2;0;0,5;0,25;7;0,0502;0,1595;0,0526;0,0705;0,0957
laplace;2;0;0,5;0,25;8;0,0281;0,1176;0,0465;0,0618;0,0787
laplace;2;0;0,5;0,25;9;0,0333;0,128;0,0603;0,0809;0,0799
laplace;2;0;0,75;0,375;0;0,0292;0,162;0,0543;0,055;0,0953
laplace;2;0;0,75;0,375;1;0,0413;0,1567;0,0483;0,0383;0,0457
laplace;2;0;0,75;0,375;2;0,0436;0,1645;0,0613;0,0502;0,0531
laplace;2;0;0,75;0,375;3;0,0413;0,1584;0,0567;0,0788;0,135
laplace;2;0;0,75;0,375;4;0,0457;0,1702;0,0644;0,0683;0,0712
laplace;2;0;0,75;0,375;5;0,0496;0,1762;0,0626;0,0671;0,0813
laplace;2;0;0,75;0,375;6;0,0541;0,1579;0,0709;0,0622;0,0752
laplace;2;0;0,75;0,375;7;0,0452;0,1609;0,0534;0,0704;0,0944
laplace;2;0;0,75;0,375;8;0,027;0,1671;0,0523;0,0589;0,0757
laplace;2;0;0,75;0,375;9;0,0299;0,1694;0,0626;0,0678;0,112
laplace;2;0;0,95;0,475;0;0,0273;0,1729;0,0548;0,055;0,0739
laplace;2;0;0,95;0,475;1;0,0442;0,1793;0,0496;0,04;0,106
laplace;2;0;0,95;0,475;2;0,0436;0,1902;0,0581;0,0576;0,0824
laplace;2;0;0,95;0,475;3;0,0419;0,1814;0,053;0,0637;0,0801
laplace;2;0;0,95;0,475;4;0,0467;0,1657;0,0586;0,0637;0,0648
laplace;2;0;0,95;0,475;5;0,0423;0,1845;0,0621;0,0617;0,0711
laplace;2;0;0,95;0,475;6;0,052;0,1811;0,0692;0,0692;0,1216
laplace;2;0;0,95;0,475;7;0,0456;0,1787;0,0579;0,0609;0,079
laplace;2;0;0,95;0,475;8;0,0255;0,1733;0,0533;0,0476;0,0447
laplace;2;0;0,95;0,475;9;0,0337;0,1788;0,0612;0,0651;0,0823
laplace;4;0;0,05;0,0375;0;0,033;0,0396;0,0382;0,0333;0,0405
laplace;4;0;0,05;0,0375;1;0,0369;0,0358;0,0618;0,0291;0,0316
laplace;4;0;0,05;0,0375;2;0,0425;0,035;0,0724;0,0271;0,0236
laplace;4;0;0,05;0,0375;3;0,0267;0,0381;0,0613;0,0237;0,0231
laplace;4;0;0,05;0,0375;4;0,0407;0,0355;0,065;0,0281;0,0309
laplace;4;0;0,05;0,0375;5;0,0445;0,0367;0,0715;0,0291;0,0227
laplace;4;0;0,05;0,0375;6;0,0546;0,0374;0,0771;0,0311;0,0455
laplace;4;0;0,05;0,0375;7;0,0541;0,0361;0,067;0,0525;0,0536
laplace;4;0;0,05;0,0375;8;0,0352;0,0376;0,0409;0,0409;0,0337
laplace;4;0;0,05;0,0375;9;0,0336;0,0373;0,0389;0,0371;0,0461
laplace;4;0;0,25;0,1875;0;0,0461;0,0807;0,0346;0,0399;0,0656
laplace;4;0;0,25;0,1875;1;0,0514;0,0967;0,0437;0,0531;0,0456
laplace;4;0;0,25;0,1875;2;0,0537;0,1064;0,0439;0,045;0,0423
laplace;4;0;0,25;0,1875;3;0,0345;0,0974;0,0328;0,0432;0,0471
laplace;4;0;0,25;0,1875;4;0,033;0,1328;0,0497;0,0773;0,0827
laplace;4;0;0,25;0,1875;5;0,0575;0,0967;0,0572;0,0468;0,0527
laplace;4;0;0,25;0,1875;6;0,0598;0,0911;0,0542;0,0517;0,0568
laplace;4;0;0,25;0,1875;7;0,0592;0,0909;0,0461;0,0766;0,0767
laplace;4;0;0,25;0,1875;8;0,0508;0,0631;0,0446;0,0728;0,0539
laplace;4;0;0,25;0,1875;9;0,0497;0,0747;0,0462;0,0513;0,0568
