dataset;alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
concrete;0,5;3;0,24870000000000003;0,24360000000000004;0,2269;0,22440000000000004;0,2218
concrete;0,5;4;0,19620000000000004;0,1846;0,17310000000000003;0,1846;0,1846
concrete;0,5;5;0,23329999999999995;0,17689999999999995;0,1987;0,18589999999999995;0,18720000000000003
concrete;0,5;6;0,25770000000000004;0,2359;0,20509999999999995;0,22050000000000003;0,22050000000000003
concrete;0,5;7;0,22950000000000004;0,19230000000000003;0,1846;0,17310000000000003;0,21799999999999997
concrete;0,5;8;0,22050000000000003;0,17049999999999998;0,17049999999999998;0,1603;0,15900000000000003
concrete;0,5;9;0,25129999999999997;0,20509999999999995;0,21540000000000004;0,2077;0,19999999999999996
concrete;0,75;0;0,1431;0,1472;0,13470000000000004;0,14439999999999997;0,14439999999999997
concrete;0,75;1;0,11939999999999995;0,16249999999999998;0,11809999999999998;0,13329999999999997;0,12360000000000004
concrete;0,75;2;0,15280000000000005;0,15690000000000004;0,1361;0,14859999999999995;0,14580000000000004
concrete;0,75;3;0,15000000000000002;0,17920000000000003;0,15969999999999995;0,14029999999999998;0,13890000000000002
concrete;0,75;4;0,15280000000000005;0,1694;0,13329999999999997;0,14439999999999997;0,14439999999999997
concrete;0,75;5;0,125;0,15969999999999995;0,10829999999999995;0,11809999999999998;0,11809999999999998
concrete;0,75;6;0,1361;0,14439999999999997;0,11809999999999998;0,13329999999999997;0,13190000000000002
concrete;0,75;7;0,16249999999999998;0,1875;0,14859999999999995;0,15000000000000002;0,14439999999999997
concrete;0,75;8;0,13060000000000005;0,14859999999999995;0,12219999999999998;0,13190000000000002;0,13190000000000002
concrete;0,75;9;0,14170000000000005;0,15000000000000002;0,11939999999999995;0,13890000000000002;0,1361
concrete;0,95;0;0,04049999999999998;0,04930000000000001;0,04930000000000001;0,04930000000000001;0,04930000000000001
concrete;0,95;1;0,04930000000000001;0,04930000000000001;0,04579999999999995;0,051100000000000034;0,05279999999999996
concrete;0,95;2;0,04749999999999999;0,04930000000000001;0,04930000000000001;0,04749999999999999;0,04930000000000001
concrete;0,95;3;0,03700000000000003;0,04930000000000001;0,04930000000000001;0,04930000000000001;0,04930000000000001
concrete;0,95;4;0,04579999999999995;0,04930000000000001;0,04400000000000004;0,04749999999999999;0,04749999999999999
concrete;0,95;5;0,042200000000000015;0,04930000000000001;0,04930000000000001;0,042200000000000015;0,04930000000000001
concrete;0,95;6;0,04400000000000004;0,04930000000000001;0,04930000000000001;0,04930000000000001;0,04930000000000001
concrete;0,95;7;0,04579999999999995;0,04930000000000001;0,04749999999999999;0,04930000000000001;0,04930000000000001
concrete;0,95;8;0,03520000000000001;0,04930000000000001;0,04930000000000001;0,04930000000000001;0,04930000000000001
concrete;0,95;9;0,042200000000000015;0,04930000000000001;0,04930000000000001;0,04049999999999998;0,04930000000000001
housing;0,05;0;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,11250000000000004
housing;0,05;1;0,09999999999999998;0,050000000000000044;0,050000000000000044;0,19379999999999997;0,20620000000000005
housing;0,05;2;0,11880000000000002;0,08120000000000005;0,050000000000000044;0,13119999999999998;0,1562
housing;0,05;3;0,050000000000000044;0,04379999999999995;0,050000000000000044;0,24380000000000002;0,14380000000000004
housing;0,05;4;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
housing;0,05;5;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,0625
housing;0,05;6;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,0625
housing;0,05;7;0,04379999999999995;0,05620000000000003;0,050000000000000044;0,0625;0,08750000000000002
housing;0,05;8;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,13749999999999996
housing;0,05;9;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
housing;0,25;0;0,2217;0,16510000000000002;0,15569999999999995;0,25470000000000004;0,33020000000000005
housing;0,25;1;0,1745;0,1462;0,16510000000000002;0,1462;0,1604
housing;0,25;2;0,2217;0,19810000000000005;0,18869999999999998;0,22640000000000005;0,22640000000000005
